ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
1118,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.30,Electronic submission\n                                    (08.10.2021)\n                                    
1120,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (16.08.2022)\n                                    
1123,Public relations and communication activities,70211 (EMTAK 2008),70.21,Electronic submission\n                                    (25.05.2022)\n                                    
1125,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
1127,Activities of holding companies,64201 (EMTAK 2008),64.20,The undertaking notified himself/herself\n                                    (21.12.2020)\n                                    
1128,Other transportation support activities,5229 (EMTAK 2008),52.29,Annual report\n                                    (29.07.2022)\n                                    
1129,Support activities to performing arts,90021 (EMTAK 2008),90.02,Annual report\n                                    (19.11.2019)\n                                    
1130,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (21.07.2022)\n                                    
1131,Fund management activities,66301 (EMTAK 2008),66.30,Electronic submission\n                                    (07.07.2021)\n                                    
1132,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (24.08.2021)\n                                    
1133,Manufacture of other articles of paper and paperboard,17291 (EMTAK 2008),17.29,Annual report\n                                    (15.05.2018)\n                                    
1134,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (24.03.2022)\n                                    
1136,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report\n                                    (30.06.2022)\n                                    
1137,Installation of electrical wiring and fittings,43211 (EMTAK 2008),43.21,Electronic submission\n                                    (15.06.2021)\n                                    
1138,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report\n                                    (04.07.2021)\n                                    
1139,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (25.04.2022)\n                                    
1140,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.30,Electronic submission\n                                    (10.11.2021)\n                                    
1141,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report\n                                    (21.04.2022)\n                                    
1145,Retail sale of watches and jewellery in specialised stores,47771 (EMTAK 2008),47.77,Electronic submission\n                                    (23.09.2022)\n                                    
1146,Activities of holding companies,64201 (EMTAK 2008),64.20,The undertaking notified himself/herself\n                                    (19.07.2021)\n                                    
1147,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Electronic submission\n                                    (23.10.2021)\n                                    
1148,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (02.03.2020)\n                                    
1149,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Electronic submission\n                                    (04.08.2021)\n                                    
1150,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
1151,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (30.10.2020)\n                                    
1152,Other sprts activities not classified elsewhere,93199 (EMTAK 2008),93.19,Annual report\n                                    (24.01.2022)\n                                    
1153,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,Annual report\n                                    (26.08.2016)\n                                    
1154,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (29.06.2021)\n                                    
1155,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (26.02.2022)\n                                    
1156,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (20.07.2022)\n                                    
1157,Pet care services,96091 (EMTAK 2008),96.09,Annual report\n                                    (17.03.2022)\n                                    
1158,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (30.06.2022)\n                                    
1159,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report\n                                    (29.06.2022)\n                                    
1160,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (01.07.2016)\n                                    
1161,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Annual report\n                                    (08.06.2022)\n                                    
1162,Real estate agencies,68311 (EMTAK 2008),68.31,Electronic submission\n                                    (13.09.2022)\n                                    
1164,Computer programming activities,62011 (EMTAK 2008),62.01,Statistics Estonia\n                                    (01.11.2021)\n                                    
1165,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Annual report\n                                    (01.07.2022)\n                                    
1166,Other sprts activities not classified elsewhere,93199 (EMTAK 2008),93.19,Electronic submission\n                                    (28.09.2022)\n                                    
1167,Media representation,73121 (EMTAK 2008),73.12,Annual report\n                                    (07.10.2021)\n                                    
1169,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (27.03.2021)\n                                    
1170,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report\n                                    (30.06.2022)\n                                    
1172,Other legal activities,69109 (EMTAK 2008),69.10,Annual report\n                                    (03.03.2022)\n                                    
1173,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (05.04.2019)\n                                    
1174,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (29.06.2022)\n                                    
1175,Activities of holding companies,64201 (EMTAK 2008),64.20,The undertaking notified himself/herself\n                                    (21.12.2020)\n                                    
1176,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report\n                                    (06.05.2022)\n                                    
1177,Installation of electrical wiring and fittings,43211 (EMTAK 2008),43.21,Annual report\n                                    (01.03.2022)\n                                    
1179,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (31.10.2022)\n                                    
1180,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Annual report\n                                    (30.10.2020)\n                                    
1181,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report\n                                    (05.05.2022)\n                                    
1182,Web portals,63121 (EMTAK 2008),63.12,Annual report\n                                    (19.07.2022)\n                                    
1183,"Wholesale of electrical material and their requisites and electrical machines, inc cables",46692 (EMTAK 2008),46.69,Annual report\n                                    (04.04.2022)\n                                    
1184,Other service activities,96099 (EMTAK 2008),96.09,Annual report\n                                    (03.06.2022)\n                                    
1186,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Statistics Estonia\n                                    (01.11.2021)\n                                    
1187,Support activities for other mining and quarrying,09901 (EMTAK 2008),09.90,Annual report\n                                    (05.10.2022)\n                                    
1188,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report\n                                    (10.05.2022)\n                                    
1190,"Publishing of textbooks, dictionaries and other encyclopaedias",58112 (EMTAK 2008),58.11,Annual report\n                                    (12.10.2021)\n                                    
1191,Forwarding agencies services,52291 (EMTAK 2008),52.29,Field of activity code data encoding by RIK\n                                    (16.09.1998)\n                                    
1192,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (06.06.2021)\n                                    
1193,Temporary employment agency activities,78201 (EMTAK 2008),78.20,Electronic submission\n                                    (01.09.2022)\n                                    
1195,Other construction installation,4329 (EMTAK 2008),43.29,Electronic submission\n                                    (08.09.2021)\n                                    
1197,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (09.12.2019)\n                                    
1198,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Field of activity code data encoding by RIK\n                                    (31.07.2003)\n                                    
1200,Manufacture of prepared meals and dishes,10851 (EMTAK 2008),10.85,Annual report\n                                    (15.07.2022)\n                                    
1201,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,Annual report\n                                    (30.06.2022)\n                                    
1202,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (29.05.2011)\n                                    
1203,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (08.07.2022)\n                                    
1204,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (01.07.2022)\n                                    
1205,Artistic creation,90031 (EMTAK 2008),90.03,Annual report\n                                    (02.08.2021)\n                                    
1207,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report\n                                    (14.01.2022)\n                                    
1209,Public relations and communication activities,70211 (EMTAK 2008),70.21,Annual report\n                                    (15.04.2018)\n                                    
1210,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (01.03.2022)\n                                    
1211,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.30,Electronic submission\n                                    (26.07.2018)\n                                    
1212,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (17.04.2015)\n                                    
1213,Activities of sports clubs for the disabled,93122 (EMTAK 2008),93.12,Annual report\n                                    (20.06.2022)\n                                    
1214,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Annual report\n                                    (15.06.2022)\n                                    
1217,Other sports activities,9319 (EMTAK 2008),93.19,Annual report\n                                    (16.06.2022)\n                                    
1219,"Office management, combined secretarial services",82111 (EMTAK 2008),82.11,Annual report\n                                    (12.01.2017)\n                                    
1220,Forwarding agencies services,52291 (EMTAK 2008),52.29,Annual report\n                                    (28.06.2022)\n                                    
1221,Forwarding agencies services,52291 (EMTAK 2008),52.29,Electronic submission\n                                    (03.03.2017)\n                                    
1222,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (18.03.2021)\n                                    
1224,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (24.10.2022)\n                                    
1225,Other engineering-technical activities,71129 (EMTAK 2008),71.12,Electronic submission\n                                    (07.02.2019)\n                                    
1226,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report\n                                    (02.03.2022)\n                                    
1227,Operation of sports facilities,93111 (EMTAK 2008),93.11,Annual report\n                                    (13.07.2022)\n                                    
1230,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report\n                                    (30.06.2022)\n                                    
1232,Temporary employment agency activities,78201 (EMTAK 2008),78.20,Electronic submission\n                                    (29.09.2022)\n                                    
1234,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (08.06.2022)\n                                    
1236,Activities of sports clubs,93121 (EMTAK 2008),93.12,Electronic submission\n                                    (29.09.2022)\n                                    
1239,Manufacture of furniture n.e.c.,31091 (EMTAK 2008),31.09,Annual report\n                                    (15.06.2022)\n                                    
1241,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Electronic submission\n                                    (20.04.2020)\n                                    
1242,Wholesale of medical appliances and surgical and orthopaedic instruments and devices,46462 (EMTAK 2008),46.46,Annual report\n                                    (29.07.2021)\n                                    
1243,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
1244,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (01.06.2022)\n                                    
1245,Retail sale of sanitary and water supply equipment and supplies,47522 (EMTAK 2008),47.52,Annual report\n                                    (30.06.2022)\n                                    
1246,Fitness facilities,93131 (EMTAK 2008),93.13,Annual report\n                                    (29.06.2011)\n                                    
1247,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",46161 (EMTAK 2008),46.16,Annual report\n                                    (31.03.2022)\n                                    
1248,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (15.06.2020)\n                                    
1249,Other software publishing,58291 (EMTAK 2008),58.29,Annual report\n                                    (17.07.2022)\n                                    
1250,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report\n                                    (01.09.2022)\n                                    
1251,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,Annual report\n                                    (31.12.2015)\n                                    
1252,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Electronic submission\n                                    (13.10.2021)\n                                    
1253,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report\n                                    (20.06.2022)\n                                    
1254,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission\n                                    (02.11.2022)\n                                    
1256,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report\n                                    (18.05.2022)\n                                    
1257,Research and experimental development on social sciences and humanities,72201 (EMTAK 2008),72.20,Annual report\n                                    (14.03.2022)\n                                    
1258,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (31.01.2018)\n                                    
1259,Financial consulting,66191 (EMTAK 2008),66.19,Annual report\n                                    (18.06.2019)\n                                    
1261,"Other professional, scientific and technical activities n.e.c.",7490 (EMTAK 2008),74.90,Annual report\n                                    (26.06.2022)\n                                    
1264,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (15.06.2022)\n                                    
1265,"Manufacture of prefabricated wooden buildings (e.g. saunas, summerhouses, houses) or elements thereof",16232 (EMTAK 2008),16.23,Annual report\n                                    (22.07.2022)\n                                    
1266,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (20.06.2022)\n                                    
1267,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (16.06.2022)\n                                    
1270,Other sports and recreational education,85519 (EMTAK 2008),85.51,Annual report\n                                    (12.08.2022)\n                                    
1271,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (13.12.2018)\n                                    
1272,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report\n                                    (25.10.2020)\n                                    
1273,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (21.03.2012)\n                                    
1274,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (14.02.2022)\n                                    
1275,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (01.07.2022)\n                                    
1276,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Electronic submission\n                                    (21.04.2021)\n                                    
1277,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (19.04.2022)\n                                    
1279,Retail sale of souvenirs and craftwork articles in specialised stores,47783 (EMTAK 2008),47.78,Electronic submission\n                                    (04.08.2021)\n                                    
1280,Activities of nurseries,85102 (EMTAK 2008),85.10,Other source\n                                    (06.11.2002)\n                                    
1281,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (04.11.2022)\n                                    
1282,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report\n                                    (24.07.2019)\n                                    
1283,Other specialised construction activities n.e.c.,4399 (EMTAK 2008),43.99,Annual report\n                                    (29.07.2019)\n                                    
1287,Other transportation support activities,5229 (EMTAK 2008),52.29,Annual report\n                                    (27.06.2022)\n                                    
1289,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Electronic submission\n                                    (26.03.2015)\n                                    
1290,Environment and nature protection associations,94996 (EMTAK 2008),94.99,Annual report\n                                    (29.09.2022)\n                                    
1291,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report\n                                    (17.05.2022)\n                                    
1292,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (14.07.2021)\n                                    
1293,Language training,85591 (EMTAK 2008),85.59,Annual report\n                                    (10.06.2022)\n                                    
1294,Artistic creation,90031 (EMTAK 2008),90.03,Annual report\n                                    (12.10.2018)\n                                    
1296,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (05.05.2022)\n                                    
1297,Other real estate management or related activities,68329 (EMTAK 2008),68.32,Annual report\n                                    (16.03.2022)\n                                    
1298,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (22.01.2021)\n                                    
1299,Photographic activities,74201 (EMTAK 2008),74.20,Electronic submission\n                                    (07.01.2015)\n                                    
1300,Manufacture of insulating glass and other building material of glass,23191 (EMTAK 2008),23.19,Annual report\n                                    (29.06.2022)\n                                    
1301,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Annual report\n                                    (20.07.2022)\n                                    
1302,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Annual report\n                                    (25.03.2022)\n                                    
1303,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (21.04.2022)\n                                    
1304,"Ethnic minorities organisations and cultural societies, associations for the purpose of integrityand friendship between nations",94994 (EMTAK 2008),94.99,Annual report\n                                    (04.02.2022)\n                                    
1306,Wholesale of footwear,46422 (EMTAK 2008),46.42,Annual report\n                                    (03.11.2020)\n                                    
1307,Business and other management consultancy activities,7022 (EMTAK 2008),70.22,Annual report\n                                    (30.06.2022)\n                                    
1308,Other sprts activities not classified elsewhere,93199 (EMTAK 2008),93.19,Electronic submission\n                                    (02.06.2022)\n                                    
1309,Forwarding agencies services,52291 (EMTAK 2008),52.29,Annual report\n                                    (17.06.2022)\n                                    
1311,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Recoding\n                                    (29.06.2017)\n                                    
1315,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report\n                                    (03.05.2022)\n                                    
1316,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (22.06.2022)\n                                    
1317,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (28.06.2022)\n                                    
1318,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (31.07.2018)\n                                    
1319,Installation of plumbing and sanitary equipment,43222 (EMTAK 2008),43.22,Annual report\n                                    (21.05.2015)\n                                    
1320,"Installation of heating, ventilation and air conditioning equipment",43221 (EMTAK 2008),43.22,Annual report\n                                    (28.06.2022)\n                                    
1321,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (17.05.2021)\n                                    
1322,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Annual report\n                                    (10.01.2022)\n                                    
1323,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",46141 (EMTAK 2008),46.14,Annual report\n                                    (23.05.2013)\n                                    
1326,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (13.07.2022)\n                                    
1327,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report\n                                    (23.12.2021)\n                                    
1329,Manufacture of other chemical products n.e.c.,20591 (EMTAK 2008),20.59,Annual report\n                                    (07.06.2022)\n                                    
1331,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (10.01.2022)\n                                    
1333,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission\n                                    (04.04.2022)\n                                    
1334,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (29.10.2019)\n                                    
1335,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",46141 (EMTAK 2008),46.14,Annual report\n                                    (06.05.2022)\n                                    
1336,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",46141 (EMTAK 2008),46.14,Electronic submission\n                                    (07.08.2018)\n                                    
1337,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (24.03.2020)\n                                    
1341,Other software publishing,58291 (EMTAK 2008),58.29,Annual report\n                                    (05.07.2022)\n                                    
1342,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (09.07.2022)\n                                    
1343,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (19.01.2022)\n                                    
1346,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (11.05.2022)\n                                    
1347,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission\n                                    (30.09.2021)\n                                    
1348,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (27.08.2020)\n                                    
1349,Agents involved in the sale of timber and building materials,46131 (EMTAK 2008),46.13,Annual report\n                                    (02.04.2022)\n                                    
1350,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (12.08.2022)\n                                    
1351,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (25.05.2022)\n                                    
1354,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (28.01.2022)\n                                    
1355,Rental and leasing of cars and light motor vehicles,77111 (EMTAK 2008),77.11,Annual report\n                                    (29.06.2017)\n                                    
1356,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
1359,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report\n                                    (29.06.2022)\n                                    
1361,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (12.05.2022)\n                                    
1362,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Annual report\n                                    (03.06.2022)\n                                    
1364,Performing arts,9001 (EMTAK 2008),90.01,Annual report\n                                    (27.06.2022)\n                                    
1365,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (07.07.2022)\n                                    
1366,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (27.04.2022)\n                                    
1367,Other specialised construction activities,43999 (EMTAK 2008),43.99,Annual report\n                                    (17.06.2022)\n                                    
1368,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report\n                                    (01.07.2022)\n                                    
1371,"Activities of call centres, telemarketing",82201 (EMTAK 2008),82.20,Annual report\n                                    (22.06.2022)\n                                    
1372,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Electronic submission\n                                    (16.05.2018)\n                                    
1374,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission\n                                    (29.11.2022)\n                                    
1375,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (16.02.2022)\n                                    
1376,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (09.10.2021)\n                                    
1378,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (12.06.2019)\n                                    
1383,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (09.06.2022)\n                                    
1384,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Annual report\n                                    (02.06.2022)\n                                    
1387,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (14.04.2022)\n                                    
1389,Mixed farming,01501 (EMTAK 2008),01.50,Electronic submission\n                                    (30.11.2018)\n                                    
1391,Marine fishing,03111 (EMTAK 2008),03.11,Field of activity code data encoding by RIK\n                                    (05.12.2001)\n                                    
1395,Mixed farming,01501 (EMTAK 2008),01.50,Annual report\n                                    (30.06.2015)\n                                    
1398,Wholesale of wood and products for the first-stage processing of wood,46731 (EMTAK 2008),46.73,Annual report\n                                    (25.03.2022)\n                                    
1399,Travel agency activities,79111 (EMTAK 2008),79.11,Annual report\n                                    (30.06.2022)\n                                    
1401,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (18.01.2022)\n                                    
1402,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Electronic submission\n                                    (07.04.2022)\n                                    
1404,Production of television programmes,59112 (EMTAK 2008),59.11,Annual report\n                                    (29.06.2022)\n                                    
1405,Sewerage and wastewater management,37001 (EMTAK 2008),37.00,Annual report\n                                    (21.06.2022)\n                                    
1406,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (05.06.2017)\n                                    
1407,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report\n                                    (31.05.2017)\n                                    
1409,"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",77399 (EMTAK 2008),77.39,Annual report\n                                    (23.09.2022)\n                                    
1410,Freshwater fishing,03121 (EMTAK 2008),03.12,Electronic submission\n                                    (11.05.2011)\n                                    
1412,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (20.10.2021)\n                                    
1413,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Electronic submission\n                                    (10.05.2017)\n                                    
1415,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (28.06.2021)\n                                    
1416,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (16.01.2020)\n                                    
1418,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report\n                                    (29.06.2022)\n                                    
1420,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (23.04.2019)\n                                    
1421,Photographic activities,74201 (EMTAK 2008),74.20,Annual report\n                                    (02.08.2022)\n                                    
1423,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (28.06.2022)\n                                    
1426,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (11.10.2022)\n                                    
1427,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report\n                                    (30.05.2011)\n                                    
1429,Other hobby education,85529 (EMTAK 2008),85.52,Electronic submission\n                                    (30.07.2021)\n                                    
1430,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (30.06.2022)\n                                    
1431,Repair and maintenance of aircraft and spacecraft,33161 (EMTAK 2008),33.16,Annual report\n                                    (29.06.2022)\n                                    
1432,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
1433,Associations and unions of people with health disorders; associations and unions of the disabled,94997 (EMTAK 2008),94.99,Electronic submission\n                                    (20.01.2020)\n                                    
1435,Other postal and express service,53201 (EMTAK 2008),53.20,Annual report\n                                    (22.09.2020)\n                                    
1436,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Electronic submission\n                                    (01.11.2019)\n                                    
1437,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Electronic submission\n                                    (16.02.2022)\n                                    
1438,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (31.12.2021)\n                                    
1439,Manufacture of ceramic sanitary fixtures,23421 (EMTAK 2008),23.42,Annual report\n                                    (06.12.2022)\n                                    
1440,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (02.08.2022)\n                                    
1441,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (27.10.2022)\n                                    
1442,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission\n                                    (29.09.2021)\n                                    
1443,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (08.10.2022)\n                                    
1445,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (10.03.2022)\n                                    
1446,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (04.07.2022)\n                                    
1447,Electrical installation,4321 (EMTAK 2008),43.21,Annual report\n                                    (05.05.2022)\n                                    
1448,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report\n                                    (28.06.2022)\n                                    
1449,"Manufacture of prefabricated wooden buildings (e.g. saunas, summerhouses, houses) or elements thereof",16232 (EMTAK 2008),16.23,Electronic submission\n                                    (25.01.2022)\n                                    
1451,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission\n                                    (05.04.2022)\n                                    
1452,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (20.04.2022)\n                                    
1453,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (23.03.2022)\n                                    
